_A_p1	_A_p10	_A_p11	_A_p12	_A_p13	_A_p14	_A_p15	_A_p16	_A_p2	_A_p3	_A_p4	_A_p5	_A_p6	_A_p7	_A_p8	_A_p9
, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts	, counts
	,	,	,	,	,	,		,	,		,	,	,	,	,
dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer	dukes should suffer
dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession	dispossession
of their	of their	of their	of their	of their	of their	of their	of their	of their	of their	of their	of their	of their	of their	of their	of their
acres	acres	acres	acres	acres	acres	acres	acres	acres	aeras	acres	acres	acres	acres	acres	acres
, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an	, all but the oldest son - what an
outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish
ordinance	ordinance	ordinance	ordinance	ordinance	ordinance	ordinance	audiance	ordinance	ordinance	ordinance	ordinance	ordinance	ordinance	ordinance	ordinance
!	!	!	!	!	!	.	!	!	!	!	!	!	!	!	!
