p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16
chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen	chosen
for	for	for	for	for	for	for	for	for	for	for	for	for	for	for	for
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
							unborn		unborn	unborn					
							to		to	to					
							this		this	this					
							story		story	story					
							whom		whom	whom					
							I		I	I					
							have		have	have					
							chosen		chosen	chosen					
							for		for	for					
							the		the	the					
part,	part	part	part,	part,	part,	part,	part,	part,	part,	past,	part,	part,	part,	part,	part.
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	The
man	man		man	man	man	man	man	man	man	man	man	man	man	man	man
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom
this	this	this	this	this	this	this	this	this	this	this	this	this	this	this	this
tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
told	told	told	told	told	told	told	told	told	told	told	told	told	told	told	told
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
all	all	all	all	all	all	all	all	all	all	all	all	all	all	all	all
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
marvels	marvels		marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
it.	it.	it.	it.	it.	it!	it.	it.	it.	it.	it.	it.	it.	it!	it.	it.
There	There	There	There	There	There	There	There	There	There	There	There	There	There	There	There
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
custom	custom	custom	custom	custom	custom	custom	custom	custom	custom	custom	custom	custom	custom	custom	custom
still	still	still	still	still	still	still	still	still	still	still	still	still	still	still	still
observed	observed	observed	observed	observed	observed	observed	observed	observed	observed	observed	observed	observed	observed	observed	observed
today	today	today,	today	today	today	today,	today	today	today	today	today	today	today	today	today
whenever	wherever	where	wherever	whenever	wherever	where	whenever	wherever	whenever	whenever	wherever	wherever	whenever	wherever	whenever
our	our	our	our	our	our	our	our	our	our	our	our	our	our	our	our
western	western	western	western	western	Western	western	western	western	western	western	western	western	western	western	western
neighbour's	neighbour's	neighbour's	neighbour's	neighbour's	neighbours'	neighbours's	neighbours'	neighbours'	neighbour's	neighbours'	neighbour's	neighbour's	neighbours'	neighbour's	neighbours
law's	laws	laws	law's	laws	laws	laws	laws	laws	law	laws	laws	laws	laws	law	lews
prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevail.	prevails.	prevail.
It	It	It	It	It	It	It	It	It	It	It	It	It	It	It	It
holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds
even	even	even	even	even	even	even	even	even	even	even	even	even	even	even	even
on	on	on	on	on	on	on	on	on	on	as	on	on	on	on	on
German	German	German	German	German	German	German	German	German	German	German	German	German	German	German	German
soil	soil	soil	soil	soil	soil	soil	soil	soil	soil	soil	soil	soil	soil	soil	soil
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
one	one	one	one	one	one	one	one	one	one	one	one	one	one	one	one
old	odd	old	old	odd	odd	old	odd	odd	odd	odd	odd	odd	odd	odd	odd
corner	corner	corner	corner	corner	corner	corner	corner	corner	corner	corner	corner	corner	corner	corner	corner
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
you	you	you	you	you	you	you	you	you	you	you	you	you	you	you	you
don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	dont
need	need	need	need	need	need	need	need	need	need	need	need	need	need	need	need
me	me	me	me	me	me	me	me	me	me	me	me	me	me	me	me
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell
you	you	you	you	you	you	you	you	you	you	you	you	you	you	you	you
that!	that!	that!	that!	that!	that!	that!	that!	that!	that!	that!	that!	that!	that!	that!	that!
Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever	Whoever
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
was	was	was	was	was	was	was	was	was	was	was	was	was	was	was	was
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
held	held	held	held	held	held	held	held	held	held	held	held	held	held	held	held
those	those	those	those	those	these	those	those	these	those	those	these	those	those	those	those
territories	territories	territores	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories
yonder	yonder	gender	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder
ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nor	nor	nor	nor	nor	nor	nor	nor	nor	nor	nor	nor	nor	nor	nor	nor
was	was	was	was	was	was	was	was	was	was	was	was	was	was	was	was
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
shame	shame	shame	shame	shame	shame	shame	shame	shame	shame	shame	shame	shame	shame	shame	shame
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
him	him	him	him	him	him	him	him	him	him	him	him	him	him	him	him.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	oldest	eldest
brother	brother	brother	brother	brother	brother	brother	brother	brother	brother	brother	brother	brother	brother	brother	brother
(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange	(strange
though	though	though	though	though	though	though	though	though	though	though	though	though	though	though	though
				he											
true)	true)	true)	true)	be)	true)	true)	true)	true)	true)	true)	true)	true)	true)	true)	true)
should	should	should	should	should	should	should	should	should	should	should	should	should	should	should	should
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
his	his	his	his	his	his	his	his	his	his	his	his	his	his	his	his
father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	fathers
whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole
inheritance.	inheritance.	inheritence.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheritance.	inheri-tance.
That	That	That	That	That	That	That	That	That	That	That	That	That	That	That	That
death	death	death	death	death	death	death	death	death	death	death	death	death	death	death	death
should	should	should	should	should	should	should	should	should	should	should	should	should	should	should	should
sever	sever	serve	sever	sever	sever	sever	sever	sever	sever	sever	sever	sever	sever	sever	sever
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
rights	rights	rights	rights	rights	rights	rights	rights	rights	rights	rights	rights	rights	rights	rights	rights
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
which	which	which	which	which	which	which	which	which	which	which	which	which	which	which	which
their	their	their	their	their	their	their	their	their	their	their	their	their	their	their	their
father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	farthers
life	life	life	life	life	life	life	life	life	life	life	life	life	life	life	life
assured	assured	answered	assured	assured	assured	assured	assured	assured	assured	assured	assured	assured	assured	assured	assured
them	them	them	them	them	them	them	them	them	them	them	them	them	them	them	them
was	was	was	was	was	was	was	was	was	was	was	was	was	was	was	was
the	the	the	the	the	the	the	the	the		the	the	the	the	the	the
cadets	cadet's	cadet's	cadets'	cadet's	cadet's	cadets'	cadet's	cadets'	cadets'	cadets'	cadet's	cadet's	cadet's	cadet's	cadets
misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.	misfortune.
Before,	Before	Before,	Before,	Before,	Before,	Before,	Before,	Before,	Before,	Before,	Before,	Before,	Before,	Before	Before
they	they	they	they	they	they	they	they	they	they	they	they	they	they	they	the
held	held	held	held	held	held	held	held	held	held	held	held	held	held	held	held
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
common.	common.	common.	common.	common.	common.	common.	common.	common.	common.	common.	common.	common.	common.	common.	common.
Now	Now,	Now,	Now	Now,	Now,	Now,	Now,	Now,	Now,	Now,	Now,	Now,	Now,	Now,	No
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest
holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds
alone.	alone.	alone.	alone.	alone,	alone,	alone.	alone,	alone.	alone,	alone,	alone.	alone.	alone,	alone.	alone.
Was	Was	Was	Was	was	was	Was	was	Was	was	was	was	Was	was	Was	Was
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
not	not	not	not	not	not	not	not	not	not	not	not	not	not	not	not
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise
man	man	man	man	man	man	man	man	man	man	man	man	man	man,	man	man
who	who	who	who	who	who	who	who	who	who	who	who	who	who	who	who
laid	laid	laid	laid	laid	laid	laid	laid	laid	laid	laid	laid	laid	laid	laid	laid
it	it		it	it	it		it	it	it	it	it	it	it	it	it
down	down	down	down	down	down	down	down	down	down	down	down	down	down	down	down.
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
age	age	age	age	age	age	age	age	age	age	age	age	age	age	age	age
should	should	should	should	should	should	should	should	should	should	should	should	should	should	should	should
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
possessions?	possessions?	permissions?	possession?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?	possessions?
-	-	-	-	-	-	-	-	-	-	-	-	-		-	-
Youth	Youth	Youth	Youth	youth	Youth	Youth	youth	Youth	Youth	youth	Youth	Youth	"Youth	Youth	Youth
has	has	has	has	has	has	has	has	has	has	has	has	has	has	has	has
its	its	its	it's	its	its	its	its	its	its	its	its	its	its	its	it
fill	fill	fill	fill	fill	fill	fill	fill	fill	fill	fill	fill	fill	fill	fill	fills
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good
things,	things,	things,	things,	things,	things,	things,	things,	things,	things,	things,	things,	things,	things,	things,	things,
old	eld	old	old	old	old	old	old	eld	old	old	old	eld	old	eld	eld
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
sights	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
sorrows'!	sorrows'!	sorrows!	sorrows'!	sorrows'!	sorrows'!	sorrows!	sorrows'!	sorrows'!	sorrows'!	sorrows'!	sorrows!	sorrows!	sorrows"	sorrows!	sorrows!
-	-	-	-		-	-	-	-	-		-	-	-	-	-
There	There	There	There		There	There	There	There	There	There	There	There	"There	There	There
never	never	never	never		never	never	never	never	never	never	never	never	never	never	never
was	was	was	was		was	was	was	was	was	was	was	was	was	was	was
a	a	a	a		a	a	a	a	a	a	a	a	a	a	a
fate	fate	fate	fate		fate	fate	fate	fate	fate	fate	fate	fate	fate	fate	fate
so	so	so	so		so	so	so	so	so	so	so	so	so	so	so
pitiful	pitiful	pitiful	pitiful		pitiful	pitiful	pitiful	pitiful	pitiful	pitiful	pitiful	pitiful	pitiful	pitiful	pitiful
as	as	as	as		as	as	as	as	as	as	as	as	as	as	as
age	age	age	age		age	age	age	age	age	age	age	age	age	age	age
and	cum	cum	and		aim	cum	cum	cum	cum	cum	over	cum	and	cum	cum
poverty!'	poverty!'	poverty!	poverty!		poverty!'	poverty!'	poverty!'	poverty!'	poverty!'	poverty.'	poverty!'	poverty!'	poverty!"	proverty!	poverty!'
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
not	not	not	not	not	not	not	not	not	not	not	not	not	not	not	not
palter	palter	palter	palter	patter	falter	palter	palter	palter	palter	falter	palter	palter	falter	palter	palter
with	with	with	with	with	with	with	with	with	with	with	with	with	with	with	with
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
truth	truthes	truth:	truth	truth:	truth:	truth:	truth:	truth:	truth:	truth:	truth	truth	truth:	truth	truth
that	that	that	that	that	that	that	that	that	that	That	that	that	that	that	that
kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	kings,	Kings,	kings,
counts	counts,	counts,	counts	counts,	counts,	counts,	counts,	counts,	counts,	counts,	counts,	counts,	counts,	counts,	counts
dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes	dukes
should	should	should	should	should	should	should	should	should	should	should	should	should	should	should	should
suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer	suffer
dispossession	dispossession	despossion	dispossession	dispossession	dispossession	despossion	dispossession	dispossesion	dispossession	dispossesion	dispossession	dispossession	dispossession	dispossession	dispossesion
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
their	their	their	their	their	their	their	their	their	their	their	their	their	their	their	their
acres,	acres,	aeras,	acres,	acres,	aires,	acres,	aires,	acres,	acres,	acres,	acres,	acres,	aires,	acres,	acres,
all	all	all	all	all	all	all	all	all	all	all	all	all	all	all	all
but	but	but	but	but	but	but	but	but	but	but	but	but	but	but	but
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest	oldest
son	son	son	son	son	son	son	son	son	son	son	son	son	son	son	son
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
what	what	what	what	what	what	what	what	what	what	what	what	what	what	what	what
an	an	an	an	an	an	an	an	an	an	an	an	an	an	an	an
outlandish	outlandish	outlardish	outlandish	outlandish	outlandish	outlandish	out-landish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish	outlandish
ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance!	ordinance.	audiance!
