n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13
	rivage	rivage	rivage	rivage	rivage	rivage	rivage	rivage	rivage	rivage	rivage	rivage
	et	et	et	et	et	et	et	et	et	et	et	et
	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir
	tour	tout	tout	tout	tout	tour	tout	tout	tout	tout	tout	tout
	à	à	à	à	à	à	à	à	à	à	à	à
	tour	coup	coup	coup	coup	tour	coup	coup	coup	coup	coup	coup
	le	le	le	le	le	le	le	le	le	le	le	le
	défi	défi	défi	défi	défi	défi	défi	défi	défit	défi	défi	défi
	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable	effroyable
	que	que	que	que	que	que	que	que	que	que	que	que
	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité	l'éternité
	lance	lance	lance	lance	lance	lance	lance	lance	lance	lance	lance	lance
	à	à	à	à	à	à	à	à	à	à	à	à
	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon
	existence	existence	existence	existence	existence	existence	existence	existence	existence	existence	existence	existence
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	le	le	le	le	le	le	le	le	le	le	le	le
	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement	mouvement
	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel	perpétuel
	de	de	de	de	de	de	de	de	de	de	de	de
	la	la	la	la	la	la	la	la	la	la	la	la
	mer	mer	mer	mer	mer	mer	mer	mer	mer	mer	mer	mer
	et	et	et	et	et	et	et	et	et	et	et	et
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	la	la	la	la	la	la	la	la	la	la	la	la
	fuite	fuite	fuite	fuite	fuite	fuite	fuite	fuite	fuite	fuite	fuite	fuite
	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle	perpétuelle
	du	du	du	du	du	du	du	du	du	du	du	du
	vent.	vent.	vent.	vent.	vent.	vent.	vent.	vent.	vent.	vent.	vent.	vent.
	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que
	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient
	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors
	le	le	le	le	le	le	le	le	le	le	le	le
	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,
	si	si	si	si	si	si	si	si	si	si	si	si
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
	une	une	une	une	une	une	une	une	une	une	une	une
	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
	le	le	le	le	le	le	le	le	le	le	le	le
	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait
	que	que	que	que	que	que	que	que	que	que	que	que
	rien	rien	rien	rien	rien	rien	rien	rien	rien	rien	rien	rien
	de	de	de	de	de	de	de	de	de	de	de	de
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	est	est	est	est	est	est	est	est	est	est	est	est
	humain	humain	humain	humain	humain	humain	humain	humain	humain	humain	humain	humain
	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
	dure,	dure,	dure,	dure,	dure,	dure;	dure,	dure,	dure	dure	dure,	dure,
	et	et	et	et	et	et	et	et	- et	- et	et	et
	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle
	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable
	consolation,	consolation	consolation	consolation	consolation,	consolation,	consolation	consolation,	consolation,	consolation,	consolation	consolation,
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	n'enrichit	n'enrichit	n'enrichit	n'enrichit	n'enrichit	n'enrichit	n'enrichit	n'enrichit	n'enrichi	n'enrichi	n'enrichit	n'enrichit
	que	que	que	que	que	que	que	que	que	que	que	que
	les	les	les	les	les	les	les	les	les	les	les	les
	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!	Suisses!
	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux
	rester	rester	rester	rester	rester	rester	rester	rester	rester	rester	rester	rester
	assis	assis	assis	assis	assis	assis	assis	assis	assis	assis	assis	assis
	devant	devant	devant	devant	devant	devant	devant	devant	devant	devant	devant	devant
	un	un	un	un	un	un	un	un	un	un	un	un
	feu	feu	feu	feu	feu	feu	feu	feu	feu	feu	feu	feu
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	la	la	la	la	la	la	la	la	la	la	la	la
	pièce	pièce	pièce	pièce	pièce	pièce	pièce	pièce	pièce	pièce	pièce	pièce
	la	la	la	la	la	la	la	la	la	la	la	la
	moins	moins	moins	moins	moins	moins	moins	moins	moins	moins	moins	moins
	exposée	exposée	exposée	exposée	exposée	exposée	exposée	exposée	exposée	exposée	exposée	exposée
	de	de	de	de	de	de	de	de	de	de	de	de
	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes
	au	au	au	au	au	au	au	au	au	au	au	au
	danger	danger	danger	danger	danger	danger	danger	danger	danger	danger	danger	danger
	et	et	et	et	et	et	et	et	et	et	et	et
	sentir	sentir	sentir	sentir	sentir	sentir	sentir	sentir	sentir	sentir	sentir	sentir
	soudain	soudain	soudain	soudain	soudain	soudain	soudain	soudain	soudain	soudain	soudain	soudain
	la	la	la	la	la	la	la	la	la	la	la	la
	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort
	me	me	me	me	me	me	me	me	me	me	me	me
	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.	cerner.
	Elle	Elle	Elle	Elle	Elle	Elle	Elle	Elle	Elle	Elle	Elle	Elle
	se	se	se	se	se	se	se	se	se	se	se	se
	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	le	le	le	le	le	le	le	le	le	le	le	le
	feu,	feu,	feu,	feu,	feu,	feu,	feu,	feu,	feu,	feu,	feu,	feu,
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous
	les	les	les	les	les	les	les	les	les	les	les	les
	objets	objets	objets	objets	objets	objets	objets	objets	objets	objets	objets	objets
	pointus	pointus	pointus	pointus	pointus	pointus	pointus	pointus	pointus	pointus	pointus	pointus
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,	m'entourent,
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	le	le	le	le	le	le	le	le	le	le	le	le
	poids	poids	poids	poids	poids	poids	poids	poids	poids	poids	poids	poids
	du	du	du	du	du	du	du	du	du	du	du	du
	toit	toit	toit	toit	toit	toit	toit	toit	toit	toit	toit	toit
	et	et	et	et	et	et	et	et	et	et	et	et
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	la	la	la	la	la	la	la	la	la	la	la	la
	masse	masse	masse	masse	masse	masse	masse	masse	masse	masse	masse	masse
	des	des	des	des	des	des	des	des	des	des	des	des
	murs,	murs.	murs.	murs.	murs,	murs;	murs.	murs,	murs,	murs,	murs.	murs,
	elle	Elle	Elle	Elle	elle	elle	Elle	elle	elle	elle	Elle	elle
	se	se	se	se	se	se	se	se	se	se	se	se
	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve	trouve
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,	l'eau,
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	
	la	la	la		la	la	la	la	la	la	la	
	neige,	neige,	neige,		neige,	neige,	neige,	neige,	neige,	neige,	neige,	
	dans	dans	dans		dans	dans	dans	dans	dans	dans	dans	
	la	la	la	la	la	la	la	la	la	la	la	
	chaleur	chaleur	chaleur	chaleur	chaleur	chaleur	chaleur	chaleur	chaleur	chaleur	chaleur	
	et	et	et	et	et	et	et	et	et	et	et	et
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon
	sang.	sang.	sang.	sang.	sang.	sang.	sang.	sang.	sang.	sang.	sang.	sang.
	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que
	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient
	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors
	le	le	le	le	le	le	le	le	le	le	le	le
	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment	sentiment
	humain	humain	humain		humain	humain	humain	humain	humain	humain	humain	humain
	de	de	de	de	de	de	de	de	de	de	de	de
	sécurité	sécurité	sécurité	sécurité	sécurité	sécurité,	sécurité	sécurité	sécurité	sécurité	sécurité	sécurité,
	si	si	si	si	si	si	si	si	si	si	si	si
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
					alors							
	une	une	une	une	une	une	une	une	une	une	une	une
	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
	le	le	le	le	le	le	le	le	le	le	le	le
	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait
	que	que	que	que	que	que	que	que	que	que	que	que
	la	la	la	la	la	la	la	la	la	la	la	la
	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort
	est	est	est	est	est	est	est	est	est	est	est	est
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il	qu'il
	y	y	y	y	y	y	y	y	y	y	y	y
	a	a	a	a	a	a	a	a	a	a	a	a
	de	de	de	de	de	de	de	de/le (?)	le	le	de	de
	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus
	proche	proche	proche	proche	proche	proche	proche	proche	proche	proche	proche	proche
	dans	de	de	de	de	dans	de	de	de	de	de	de
	la	la	la	la	la	la	la	la	la	la	la	la
	vie,	vie,	vie,	vie,	vie,	vie,	vie,	vie,	vie	vie	vie,	vie,
	et	et	et	et	et	et	et	et	- et	- et	et	et
	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle
	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable	misérable
	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,	consolation,
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait
	que	que	que	que	que	que	que	que	que	que	que	que
	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous
	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler	rappeler
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle
	veut	veut	veut	veut	veut	veut	veut	veut	veut	veut	veut	veut
	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous
	faire	faire	faire	faire	faire	faire	faire	faire	faire	faire	faire	faire
	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!	oublier!
	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux
	remplir	remplir	remplir	remplir	remplir	remplir	remplir	remplir	remplir	remplir	remplir	remplir
	toutes	toutes	toutes	toutes	toutes	toutes		toutes	toutes	toutes	toutes	toutes
	mes	mes	mes	mes	mes	les	mes	mes	mes	mes	mes	mes
	pages	pages	pages	pages	pages	pages	pages	pages	pages	pages	pages	pages
	blanches	blanches	blanches	blanches	blanches	blanches	blanches	blanches	blanches	blanches	blanches	blanches
	avec	avec	avec	avec	avec	avec	avec	avec	avec	avec	avec	avec
	les	les	les	les	les	les	les	les	les	les	les	les
	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus
	belles	belles	belles	belles	belles	belles	belles	belles	belles	belles	belles	belles
	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons	combinaisons
	de	de	de	de	de	de	de	de	de	de	de	de
	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots
	que	que	que	que	que	que	que	que	que	que	que	que
	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse
	s'imaginer	s'imaginer	s'imaginer	s'imaginer	s'imaginer	imaginer	s'imaginer	s'imaginer	s'imaginer	s'imaginer	s'imaginer	s'imaginer
	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon
	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.	cerveau.
	Etant	Etant	Etant	Etant	Etant	Etant	Etant	Etant	Etant	Etant	Etant	Etant
	donné	donné	donné	donné	donné	donné	donné	donné	donné	donné	donné	donné
	que	que	que	que	que	que	que	que	que	que	que	que
	je	je	je	je	je	je	je	je	je	je	je	je
	cherche	cherche	cherche	cherche	cherche	cherche	cherche	cherche	cherche	cherche	cherche	cherche
	à	à	à	à	à	à	à	à	à	à	à	à
	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer	m'assurer
	que	que	que	que	que	que	que	que	que	que	que	que
	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie
	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde
	et	et	et	et	et	et	et	et	et	et	et	et
	que	que	que	que	que	que	que	que	que	que	que	que
	je	je	je	je	je	je	je	je	je	je	je	je
	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
	seul	seule	seule	seule	seule	seul	seule	seule	seule	seule	seule	seul
	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur
	la	la	la	la	la	la	la	la	la	la	la	la
	terre,	terre,	terre,	terre,	terre,	terre,	terre,	terre,	terre,	terre,	terre,	terre,
	je	je	je	je	je	je	je	je	je	je	je	je
	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble	rassemble
	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous
	ces	ces	ces	ces	ces	ces	ces	ces	ces	ces	ces	ces
	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots
	en	en	en	en	en	en	en	en	en	en	en	en
	un	un	un	un	un	un	un	un	un	un	un	un
	livre	livre	livre	livre	livre	livre	livre	livre	livre	livre	livre	livre
	et	et	et	et	et	et	et	et	et	et	et	et
	je	je	je	je	je	je	je	je	je	je	je	je
	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre	l'offre
	au	au	au	au	au	au	au	au	au	au	au	au
	monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.
	En	En		En	En	En	En	En	En	En	En	En
	retour,	retour,		retour,	retour,	retour,	retour,	retour,	retour,	retour,	retour,	retour,
	celui-ci	celui-ci		celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci
	me	me		me	me	me	me	me	me	me	me	me
	donne	donne		donne	donne	donne	donne	donne	donne	donne	donne	donne
	la	la		la	la	la	la	la	la	la	la	la
	richesse,	richesse,		richesse,	richesse,	richesse,	richesse,	richesse,	richesse,	richesse,	richesse,	richesse,
	la	la		la	la	la	la	la	la	la	la	la
	gloire	gloire		gloire	gloire	gloire	gloire	gloire	gloire	gloire	gloire	gloire
	et	et		et	et	et	et	et	et	et	et	et
	le	le		le	le	le	le	le	le	le	le	le
	silence.	silence.		silence.	silence.	silence.	silence.	silence.	silence.	silence.	silence.	silence.
	Mais	Mais		Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais
	que	que		que	que	que	que	que	que	que	que	que
	puis-je	puis-je		puis-je	puis-je	puis-je	puis-je	puis-je	puis-je	puis-je	puis-je	puis-je
	bien	bien		bien	bien	bien	bien	bien	bien	bien	bien	bien
	faire	faire		faire	faire	faire	faire	faire	faire	faire	faire	faire
	de	de		de	de	de	de	de	de	de	de	de
	cet	cet		cet	cet	cet	cet	cet	cet	cet	cet	cet
	argent	argent		argent	argent	argent	argent	argent	argent	argent	argent	argent
	et	et		et	et	et	et	et	et	et	et	et
	quel	quel		quel	quel	quel	quel	quel	quel	quel	quel	quel
	plaisir	plaisir		plaisir	plaisir	plaisir	plaisir	plaisir	plaisir	plaisir	plaisir	plaisir
	puis-je	puis-je		puis-je	puis-je	puis-je	puis-je	puis-je	puis-je	puis-je	puis-je	puis-je
	prendre	prendre		prendre	prendre	prendre	prendre	prendre	prendre	prendre	prendre	prendre
	à	à		à	à	à	à	à	à	à	à	à
	contribuer	contribuer		contribuer	contribuer	contribuer	contribuer	contribuer	contribuer	contribuer	contribuer	contribuer
	au	au		au	au	au	au	au	au	au	au	au
	progrès	progrès		progrès	progrès	progrès	progrès	progrès	progrès	progrès	progrès	progrès
	de	de		de	de	de	de	de	de	de	de	de
	la	la		la	la	la	la	la	la	la	la	la
	littérature,	littérature,		littérature,	littérature,	littérature,	littérature,	littérature,	littérature	littérature	littérature,	littérature,
	je	je		je	je	je	je	je	- je	- je	je	je
	ne	ne		ne	ne	ne	ne	ne	ne	ne	ne	ne
	désire	désire		désire	désire	désire	désire	désire	désire	désire	désire	désire
	que	que		que	que	que	que	que	que	que	que	que
	ce	ce		ce	ce	ce	ce	ce	ce	ce	ce	ce
	que	que		que	que	que	que	que	que	que	que	que
	je	je		je	je	je	je	je	je	je	je	je
	n'aurai	n'aurai		n'aurai	n'aurai	n'aurai	n'aurai	n'aurai	n'aurai	n'aurai	n'aurai	n'aurai
	pas:	pas:		pas:	pas:	pas:	pas:	pas:	pas:	pas:	pas:	pas:
						la						
	confirmation	confirmation		confirmation	confirmation	confirmation	confirmation	confirmation	confirmation	confirmation	confirmation	confirmation
		de		de	de		de	de	de	de	de	
		ce		ce	ce		ce	ce	ce	ce	ce	
	que	que		que	que	que	que	que	que	que	que	que
	mes	mes		mes	mes	mes	mes	mes	mes	mes	mes	mes
	mots	mots		mots	mots	mots	mots	mots	mots	mots	mots	mots
	ont	ont		ont	ont	ont	ont	ont	ont	ont	ont	ont
	touché	touché		touché	touché	touché	touché	touché	touché	touché	touché	touché
	le	le		le	le	le	le	le	le	le	le	le
	c½ur	c½ur		c½ur	c½ur	c½ur	c½ur	c½ur	c½ur	c½ur	c½ur	c½ur
	du	du		du	du	du	du	du	du	du	du	du
	monde.	monde.		monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.	monde.
	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que	Que
	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient	devient
	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors
	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon
	talent	talent	talent	talent	talent	talent	talent	talent	talent	talent	talent	talent,
	si	si	si	si	si	si	si	si	si	si	si	si
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
							pas					
	une	une	une	une	une	une	une	une	une	une	une	une
	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
	le	le	le	le	le	le	le	le	le	le	le	le
	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait
	que	que	que	que	que	que	que	que	que	que	que	que
	je	je	je	je	je	je	je	je	je	je	je	je
	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
	seul,	seule,	seule,	seule,	seule,	seul,	seule,	seule,	seule	seule	seule,	seul,
	mais	mais	mais	mais	mais	mais	mais	mais	- mais	- mais	mais	mais
	quelle	quelle	quelle	quelle	quelle	quel	quelle	quelle	quelle	quelle	quelle	quelle
	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable	épouvantable
	consolation,	consolation	consolation	consolation	consolation,	consolation,	consolation	consolation,	consolation,	consolation,	consolation	consolation,
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	me	me	me	me	me	me	me	me	me	me	me	me
	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait
	simplement	simplement	simplement	simplement	simplement	simplement	simplement	simplement	simplement	simplement	simplement	simplement
	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir	ressentir
	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
	solitude	solitude	solitude	solitude	solitude	solitude	solitude	solitude	solitude	solitude	solitude	solitude
	cinq	cinq	cinq	cinq	cinq	cinq	cinq	cinq	cinq	cinq	cinq	cinq
	fois	fois	fois	fois	fois	fois	fois	fois	fois	fois	fois	fois
	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus
	fort!	fort!	fort!	fort!	fort!	fort!	fort!	fort!	fort!	fort!	fort!	fort!
	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux	peux
	voir	voir	voir	voir	voir	voir	voir	voir	voir	voir	voir	voir
	la	la	la	la	la	la	la	la	la	la	la	la
	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté
	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée	incarnée
	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
	un	un	un	un	un	un	un	un	un	un	un	un
	animal	animal	animal	animal	animal	animal	animal	animal	animal	animal	animal	animal
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	traverse	traverse	traverse	traverse	traverse	traverse	traverse	traverse	traverse	traverse	traverse	traverse
		rapidement	rapidement	rapidement	rapidement		rapidement	rapidement	rapidement	rapidement	rapidement	
	une	une	une	une	une	une	une	une	une	une	une	une
	clairière	clairière	clairière	clairière	clairière	clairière	clairière	clairière	cl*rière	clairière	clairière	clairière
	et	et	et	et	et	et	et	et	et	et	et	et
	entendre	entendre	entendre	entendre	entendre	entendre	entendre	entendre	entendre	entendre	entendre	entendre
	une	une	une	une	une	une	une	une	une	une	une	une
	voix	voix	voix	voix	voix	voix	voix	voix	voix	voix	voix	voix
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:	chuchote:
	"Vis	Vis	Vis	Vis	Vis	"Vis	Vis	Vis	Vis	Vis	Vis	"Vis
	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,	simplement,
	prends	prends	prends	prends	prends	prends	prends	prends	prends	prends	prends	prends
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	que	que	que	que	que	que	que	que	que	que	que	que
	tu	tu	tu	tu	tu	tu	tu	tu	tu	tu	tu	tu
	désires	désires	désires	désires	désires	désires	désires	désires	désires	désires	désires	désires
	et	et	et	et	et	et	et	et	et	et	et	et
	n'aie	n'aie	n'aie	n'aie	n'aie	n'aie	n'ai	n'aie	n'aies	n'aie	n'aie	n'aie
	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
	peur	peur	peur	peur	peur	peur	peur	peur	peur	peur	peur	peur
		pour	pour				pour				pour	
	des	les	les	des	des	des	les	des	des	des	les	des
	lois!"	lois!	lois!	lois!	lois!	lois!"	lois!	lois!	lois!	lois!	lois!	lois!".
	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais
	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce	qu'est-ce
	que	que	que	que	que	que	que	que	que	que	que	que
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	bon	bon	bon	bon	bon	bon	bon	bon	bon	bon	bon	bon
	conseil	conseil	conseil	conseil	conseil	conseil	conseil	conseil	conseil	conseil	conseil	conseil,
	si	si	si	si	si	si	si	si	si	si	si	si
	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
	une	une	une	une	une	une	une	une	une	une	une	une
	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
	le	le	le	le	le	le	le	le	le	le	le	le
	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait	fait
	que	que	que	que	que	que	que	que	que	que	que	que
	la	la	la	la	la	la	la	la	la	la	la	la
	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté
	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe	n'existe
	pas,	pas	pas	pas	pas	pas,	pas	pas	pas	pas	pas	pas,
